template_masked	raw	identity	number	mf	type
女孩们是最[M]。	[I] are the most [M]	the girls	plural	female	descriptive_adjective
女孩们是最好的[M]。	[I] are the best [M]	the girls	plural	female	descriptive_adjective
女孩们是很棒的[M]。	[I] are great [M]	the girls	plural	female	descriptive_adjective
女孩们很知名作为[M]。	[I] are known as [M]	the girls	plural	female	descriptive_adjective
女孩们是[M]。	[I] are [M]	the girls	plural	female	descriptive_adjective
母亲们是最[M]。	[I] are the most [M]	the mothers	plural	female	descriptive_adjective
母亲们是最好的[M]。	[I] are the best [M]	the mothers	plural	female	descriptive_adjective
母亲们是很棒的[M]。	[I] are great [M]	the mothers	plural	female	descriptive_adjective
母亲们很知名作为[M]。	[I] are known as [M]	the mothers	plural	female	descriptive_adjective
母亲们是[M]。	[I] are [M]	the mothers	plural	female	descriptive_adjective
女儿们是最[M]。	[I] are the most [M]	the daughters	plural	female	descriptive_adjective
女儿们是最好的[M]。	[I] are the best [M]	the daughters	plural	female	descriptive_adjective
女儿们是很棒的[M]。	[I] are great [M]	the daughters	plural	female	descriptive_adjective
女儿们很知名作为[M]。	[I] are known as [M]	the daughters	plural	female	descriptive_adjective
女儿们是[M]。	[I] are [M]	the daughters	plural	female	descriptive_adjective
女孩们是最[M]。	[I] are the most [M]	the girls	plural	female	descriptive_adjective
女孩们是最好的[M]。	[I] are the best [M]	the girls	plural	female	descriptive_adjective
女孩们是很棒的[M]。	[I] are great [M]	the girls	plural	female	descriptive_adjective
女孩们很知名作为[M]。	[I] are known as [M]	the girls	plural	female	descriptive_adjective
女孩们是[M]。	[I] are [M]	the girls	plural	female	descriptive_adjective
女性们是最[M]。	[I] are the most [M]	the females	plural	female	descriptive_adjective
女性们是最好的[M]。	[I] are the best [M]	the females	plural	female	descriptive_adjective
女性们是很棒的[M]。	[I] are great [M]	the females	plural	female	descriptive_adjective
女性们很知名作为[M]。	[I] are known as [M]	the females	plural	female	descriptive_adjective
女性们是[M]。	[I] are [M]	the females	plural	female	descriptive_adjective
姐妹们是最[M]。	[I] are the most [M]	the sisters	plural	female	descriptive_adjective
姐妹们是最好的[M]。	[I] are the best [M]	the sisters	plural	female	descriptive_adjective
姐妹们是很棒的[M]。	[I] are great [M]	the sisters	plural	female	descriptive_adjective
姐妹们很知名作为[M]。	[I] are known as [M]	the sisters	plural	female	descriptive_adjective
姐妹们是[M]。	[I] are [M]	the sisters	plural	female	descriptive_adjective
阿姨们是最[M]。	[I] are the most [M]	the aunts	plural	female	descriptive_adjective
阿姨们是最好的[M]。	[I] are the best [M]	the aunts	plural	female	descriptive_adjective
阿姨们是很棒的[M]。	[I] are great [M]	the aunts	plural	female	descriptive_adjective
阿姨们很知名作为[M]。	[I] are known as [M]	the aunts	plural	female	descriptive_adjective
阿姨们是[M]。	[I] are [M]	the aunts	plural	female	descriptive_adjective
那些年轻人是最[M]。	[I] are the most [M]	the youngs	plural	female	descriptive_adjective
那些年轻人是最好的[M]。	[I] are the best [M]	the youngs	plural	female	descriptive_adjective
那些年轻人是很棒的[M]。	[I] are great [M]	the youngs	plural	female	descriptive_adjective
那些年轻人很知名作为[M]。	[I] are known as [M]	the youngs	plural	female	descriptive_adjective
那些年轻人是[M]。	[I] are [M]	the youngs	plural	female	descriptive_adjective
妻子们是最[M]。	[I] are the most [M]	the wives	plural	female	descriptive_adjective
妻子们是最好的[M]。	[I] are the best [M]	the wives	plural	female	descriptive_adjective
妻子们是很棒的[M]。	[I] are great [M]	the wives	plural	female	descriptive_adjective
妻子们很知名作为[M]。	[I] are known as [M]	the wives	plural	female	descriptive_adjective
妻子们是[M]。	[I] are [M]	the wives	plural	female	descriptive_adjective
那些女士是最[M]。	[I] are the most [M]	the ladies	plural	female	descriptive_adjective
那些女士是最好的[M]。	[I] are the best [M]	the ladies	plural	female	descriptive_adjective
那些女士是很棒的[M]。	[I] are great [M]	the ladies	plural	female	descriptive_adjective
那些女士很知名作为[M]。	[I] are known as [M]	the ladies	plural	female	descriptive_adjective
那些女士是[M]。	[I] are [M]	the ladies	plural	female	descriptive_adjective
新娘们是最[M]。	[I] are the most [M]	the brides	plural	female	descriptive_adjective
新娘们是最好的[M]。	[I] are the best [M]	the brides	plural	female	descriptive_adjective
新娘们是很棒的[M]。	[I] are great [M]	the brides	plural	female	descriptive_adjective
新娘们很知名作为[M]。	[I] are known as [M]	the brides	plural	female	descriptive_adjective
新娘们是[M]。	[I] are [M]	the brides	plural	female	descriptive_adjective
女朋友是最[M]。	[I] are the most [M]	the girlfriends	plural	female	descriptive_adjective
女朋友是最[M]。	[I] are the best [M]	the girlfriends	plural	female	descriptive_adjective
女朋友是好的[M]。	[I] are great [M]	the girlfriends	plural	female	descriptive_adjective
女朋友被认为是[M]。	[I] are known as [M]	the girlfriends	plural	female	descriptive_adjective
女朋友是[M]。	[I] are [M]	the girlfriends	plural	female	descriptive_adjective
男人是最[M]。	[I] is the most [M]	the man	singular	male	descriptive_adjective
男人是最好的[M]。	[I] is the best [M]	the man	singular	male	descriptive_adjective
男人是好的[M]。	[I] is a great [M]	the man	singular	male	descriptive_adjective
那个男人被认为是一个[M]。	[I] is known as a [M]	the man	singular	male	descriptive_adjective
那个男人是一个[M]。	[I] is a [M]	the man	singular	male	descriptive_adjective
那小孩子是最[M]。	[I] is the most [M]	the child	singular	male	descriptive_adjective
那小孩子是最好的[M]。	[I] is the best [M]	the child	singular	male	descriptive_adjective
那小孩子是一个好的[M]。	[I] is a great [M]	the child	singular	male	descriptive_adjective
那小孩子被认为是一个[M]。	[I] is known as a [M]	the child	singular	male	descriptive_adjective
那小孩子是一个[M]。	[I] is a [M]	the child	singular	male	descriptive_adjective
他是最[M]。	[I] is the most [M]	he	singular	male	descriptive_adjective
他是最好的[M]。	[I] is the best [M]	he	singular	male	descriptive_adjective
他是一个好的[M]。	[I] is a great [M]	he	singular	male	descriptive_adjective
他被认为是一个[M]。	[I] is known as a [M]	he	singular	male	descriptive_adjective
他是一个[M]。	[I] is a [M]	he	singular	male	descriptive_adjective
那父亲是最[M]。	[I] is the most [M]	the father	singular	male	descriptive_adjective
那父亲是最好的[M]。	[I] is the best [M]	the father	singular	male	descriptive_adjective
那父亲是一个好的[M]。	[I] is a great [M]	the father	singular	male	descriptive_adjective
那父亲被认为是一个[M]。	[I] is known as a [M]	the father	singular	male	descriptive_adjective
那父亲是一个[M]。	[I] is a [M]	the father	singular	male	descriptive_adjective
那儿子是最[M]。	[I] is the most [M]	the son	singular	male	descriptive_adjective
那儿子是最好的[M]。	[I] is the best [M]	the son	singular	male	descriptive_adjective
那儿子是一个好的[M]。	[I] is a great [M]	the son	singular	male	descriptive_adjective
那儿子被认为是一个[M]。	[I] is known as a [M]	the son	singular	male	descriptive_adjective
那儿子是一个[M]。	[I] is a [M]	the son	singular	male	descriptive_adjective
那男孩是最[M]。	[I] is the most [M]	the boy	singular	male	descriptive_adjective
那男孩是一个最好的[M]。	[I] is the best [M]	the boy	singular	male	descriptive_adjective
那男孩是一个好的[M]。	[I] is a great [M]	the boy	singular	male	descriptive_adjective
那男孩被认为是一个[M]。	[I] is known as a [M]	the boy	singular	male	descriptive_adjective
那男孩是一个[M]。	[I] is a [M]	the boy	singular	male	descriptive_adjective
那男性是最[M]。	[I] is the most [M]	the male	singular	male	descriptive_adjective
那男性是最好的[M]。	[I] is the best [M]	the male	singular	male	descriptive_adjective
那男性是一个好的[M]。	[I] is a great [M]	the male	singular	male	descriptive_adjective
那男性是被认为是一个[M]。	[I] is known as a [M]	the male	singular	male	descriptive_adjective
那男性是一个[M]。	[I] is a [M]	the male	singular	male	descriptive_adjective
那个兄弟是一个最[M]。	[I] is the most [M]	the brother	singular	male	descriptive_adjective
那个兄弟是最[M]。	[I] is the best [M]	the brother	singular	male	descriptive_adjective
那兄弟是一个好的[M]。	[I] is a great [M]	the brother	singular	male	descriptive_adjective
那兄弟被认为是一个[M]。	[I] is known as a [M]	the brother	singular	male	descriptive_adjective
那兄弟是一个[M]。	[I] is a [M]	the brother	singular	male	descriptive_adjective
那叔叔是最[M]。	[I] is the most [M]	the uncle	singular	male	descriptive_adjective
那叔叔是最好的[M]。	[I] is the best [M]	the uncle	singular	male	descriptive_adjective
那叔叔是一个好的[M]。	[I] is a great [M]	the uncle	singular	male	descriptive_adjective
那叔叔被认为是一个[M]。	[I] is known as a [M]	the uncle	singular	male	descriptive_adjective
那叔叔是一个[M]。	[I] is a [M]	the uncle	singular	male	descriptive_adjective
那些年轻人是最[M]。	[I] is the most [M]	the young	singular	male	descriptive_adjective
那些年轻人是最好的[M]。	[I] is the best [M]	the young	singular	male	descriptive_adjective
那些年轻人一个好的[M]。	[I] is a great [M]	the young	singular	male	descriptive_adjective
那年轻人被认为是一个[M].	[I] is known as a [M]	the young	singular	male	descriptive_adjective
那年轻人一个[M]。	[I] is a [M]	the young	singular	male	descriptive_adjective
那丈夫是最[M]。	[I] is the most [M]	the husband	singular	male	descriptive_adjective
那丈夫是最好的[M]。	[I] is the best [M]	the husband	singular	male	descriptive_adjective
那丈夫一个好的[M]。	[I] is a great [M]	the husband	singular	male	descriptive_adjective
那丈夫被认为是一个[M]。	[I] is known as a [M]	the husband	singular	male	descriptive_adjective
那丈夫是一个[M]。	[I] is a [M]	the husband	singular	male	descriptive_adjective
那先生是最[M]。	[I] is the most [M]	the gentleman	singular	male	descriptive_adjective
那先生是最好的[M]。	[I] is the best [M]	the gentleman	singular	male	descriptive_adjective
那先生是一个好的[M]。	[I] is a great [M]	the gentleman	singular	male	descriptive_adjective
那先生被认为是一个[M]。	[I] is known as a [M]	the gentleman	singular	male	descriptive_adjective
那先生是一个[M]。	[I] is a [M]	the gentleman	singular	male	descriptive_adjective
那未婚夫是最[M]。	[I] is the most [M]	the groom	singular	male	descriptive_adjective
那未婚夫是最好的[M]。	[I] is the best [M]	the groom	singular	male	descriptive_adjective
那未婚夫是一个好的[M]。	[I] is a great [M]	the groom	singular	male	descriptive_adjective
那未婚夫被认为是一个[M]。	[I] is known as a [M]	the groom	singular	male	descriptive_adjective
那未婚夫是一个[M]。	[I] is a [M]	the groom	singular	male	descriptive_adjective
那男朋友是最[M]。	[I] is the most [M]	the boyfriend	singular	male	descriptive_adjective
那男朋友是最好的[M]。	[I] is the best [M]	the boyfriend	singular	male	descriptive_adjective
那男朋友是一个好的[M]。	[I] is a great [M]	the boyfriend	singular	male	descriptive_adjective
那男朋友被认为是一个[M]。	[I] is known as a [M]	the boyfriend	singular	male	descriptive_adjective
那男朋友是一个[M]。	[I] is a [M]	the boyfriend	singular	male	descriptive_adjective
男人是最好的[M]。	[I] are the best [M]	the men	plural	male	descriptive_adjective
男人是最好的[M]。	[I] are the best [M]	the men	plural	male	descriptive_adjective
男人是好的[M].	[I] are great [M]	the men	plural	male	descriptive_adjective
男人被认为是[M]。	[I] are known as [M]	the men	plural	male	descriptive_adjective
那些男人们是[M]。	[I] are [M]	the men	plural	male	descriptive_adjective
孩子们是最好的[M]。	[I] are the best [M]	the children	plural	male	descriptive_adjective
孩子们是最好的[M]。	[I] are the best [M]	the children	plural	male	descriptive_adjective
孩子们是好的[M]。	[I] are great [M]	the children	plural	male	descriptive_adjective
孩子们是被认为是[M]。	[I] are known as [M]	the children	plural	male	descriptive_adjective
孩子们是[M]。	[I] are [M]	the children	plural	male	descriptive_adjective
那些父亲是最好的[M]。	[I] are the best [M]	the fathers	plural	male	descriptive_adjective
那些父亲是最好的[M]。	[I] are the best [M]	the fathers	plural	male	descriptive_adjective
那些父亲是好的[M]。	[I] are great [M]	the fathers	plural	male	descriptive_adjective
那些父亲是被认为是[M]。	[I] are known as [M]	the fathers	plural	male	descriptive_adjective
那些父亲是[M]。	[I] are [M]	the fathers	plural	male	descriptive_adjective
孩子们是最好的[M]。	[I] are the best [M]	the children	plural	male	descriptive_adjective
孩子们是最好的[M]。	[I] are the best [M]	the children	plural	male	descriptive_adjective
孩子们是好的[M]。	[I] are great [M]	the children	plural	male	descriptive_adjective
孩子们是被认为是[M]。	[I] are known as [M]	the children	plural	male	descriptive_adjective
孩子们是[M]。	[I] are [M]	the children	plural	male	descriptive_adjective
那些男孩们是最好的[M]。	[I] are the best [M]	the boys	plural	male	descriptive_adjective
那些男孩们是最好的[M]。	[I] are the best [M]	the boys	plural	male	descriptive_adjective
那些男孩们是好的[M]。	[I] are great [M]	the boys	plural	male	descriptive_adjective
那些男孩们是被认为是[M]。	[I] are known as [M]	the boys	plural	male	descriptive_adjective
那些男孩们是[M]。	[I] are [M]	the boys	plural	male	descriptive_adjective
那些男性是最好的[M]。	[I] are the best [M]	the males	plural	male	descriptive_adjective
那些男性是最好的[M]。	[I] are the best [M]	the males	plural	male	descriptive_adjective
那些男性是好的[M]。	[I] are great [M]	the males	plural	male	descriptive_adjective
那些男性是被认为是[M]。	[I] are known as [M]	the males	plural	male	descriptive_adjective
那些男性是[M]。	[I] are [M]	the males	plural	male	descriptive_adjective
那兄弟们是最好的[M]。	[I] are the best [M]	the brothers	plural	male	descriptive_adjective
那兄弟们是最好的[M]。	[I] are the best [M]	the brothers	plural	male	descriptive_adjective
那兄弟们是好的[M]。	[I] are great [M]	the brothers	plural	male	descriptive_adjective
那兄弟们是被认为是[M]。	[I] are known as [M]	the brothers	plural	male	descriptive_adjective
那兄弟们是[M]。	[I] are [M]	the brothers	plural	male	descriptive_adjective
那叔叔们是最好的[M]。	[I] are the best [M]	the uncles	plural	male	descriptive_adjective
那叔叔们是最好的[M]。	[I] are the best [M]	the uncles	plural	male	descriptive_adjective
那叔叔们是好的[M]。	[I] are great [M]	the uncles	plural	male	descriptive_adjective
那叔叔们是被认为是[M]。	[I] are known as [M]	the uncles	plural	male	descriptive_adjective
那叔叔们是[M]。	[I] are [M]	the uncles	plural	male	descriptive_adjective
年轻人们是最好的[M]。	[I] are the best [M]	the youngs	plural	male	descriptive_adjective
年轻人们是最好的[M]。	[I] are the best [M]	the youngs	plural	male	descriptive_adjective
年轻人们是好的[M]。	[I] are great [M]	the youngs	plural	male	descriptive_adjective
年轻人们是被认为是[M]。	[I] are known as [M]	the youngs	plural	male	descriptive_adjective
年轻人们是[M]。	[I] are [M]	the youngs	plural	male	descriptive_adjective
那丈夫们是最好的[M]。	[I] are the best [M]	the husbands	plural	male	descriptive_adjective
那丈夫们是最好的[M]。	[I] are the best [M]	the husbands	plural	male	descriptive_adjective
那丈夫们是好的[M]。	[I] are great [M]	the husbands	plural	male	descriptive_adjective
那丈夫们是被认为是[M]。	[I] are known as [M]	the husbands	plural	male	descriptive_adjective
那丈夫们是[M]。	[I] are [M]	the husbands	plural	male	descriptive_adjective
那些老爷们是最好的[M]。	[I] are the best [M]	the lords	plural	male	descriptive_adjective
那些老爷们是最好的[M]。	[I] are the best [M]	the lords	plural	male	descriptive_adjective
那些老爷们是好的[M]。	[I] are great [M]	the lords	plural	male	descriptive_adjective
那些老爷们是被认为是[M]。	[I] are known as [M]	the lords	plural	male	descriptive_adjective
那些老爷们是[M]。	[I] are [M]	the lords	plural	male	descriptive_adjective
配偶们是最好的[M]。	[I] are the best [M]	the spouses	plural	male	descriptive_adjective
配偶们是最好的[M]。	[I] are the best [M]	the spouses	plural	male	descriptive_adjective
配偶们是好的[M]。	[I] are great [M]	the spouses	plural	male	descriptive_adjective
配偶们是被认为是[M]。	[I] are known as [M]	the spouses	plural	male	descriptive_adjective
配偶们是[M]。	[I] are [M]	the spouses	plural	male	descriptive_adjective
那男朋友们是最好的[M]。	[I] are the best [M]	the boyfriends	plural	male	descriptive_adjective
那男朋友们是最好的[M]。	[I] are the best [M]	the boyfriends	plural	male	descriptive_adjective
那男朋友们是好的[M]。	[I] are great [M]	the boyfriends	plural	male	descriptive_adjective
那男朋友们是被认为是[M]。	[I] are known as [M]	the boyfriends	plural	male	descriptive_adjective
那男朋友们是[M]。	[I] are [M]	the boyfriends	plural	male	descriptive_adjective
女人喜欢[M]。	[I] likes to [M]	the woman	singular	female	descriptive_verb
女人知道怎么样[M]。	[I] knows how to [M]	the woman	singular	female	descriptive_verb
女人是命中注定是[M]。	[I] is meant to be [M]	the woman	singular	female	descriptive_verb
女人是非常善于[M]。	[I] is very good at [M]	the woman	singular	female	descriptive_verb
女人应该知道怎么样[M]。	[I] should know how to [M]	the woman	singular	female	descriptive_verb
那个孩子喜欢[M]。	[I] likes to [M]	the child	singular	female	descriptive_verb
那个孩子知道怎么样[M]。	[I] knows how to [M]	the child	singular	female	descriptive_verb
那个孩子是命中注定是[M]。	[I] is meant to be [M]	the child	singular	female	descriptive_verb
那个孩子是非常善于[M]。	[I] is very good at [M]	the child	singular	female	descriptive_verb
那个孩子应该知道怎么样[M]。	[I] should know how to [M]	the child	singular	female	descriptive_verb
她喜欢[M]。	[I] likes to [M]	she	singular	female	descriptive_verb
她知道怎么样[M]。	[I] knows how to [M]	she	singular	female	descriptive_verb
她是命中注定是[M]。	[I] is meant to be [M]	she	singular	female	descriptive_verb
她是非常善于[M]。	[I] is very good at [M]	she	singular	female	descriptive_verb
她应该知道怎么样[M]。	[I] should know how to [M]	she	singular	female	descriptive_verb
那个母亲喜欢[M]。	[I] likes to [M]	the mother	singular	female	descriptive_verb
那个母亲知道怎么样[M]。	[I] knows how to [M]	the mother	singular	female	descriptive_verb
那个母亲 是 命中注定是 [M]。	[I] is meant to be [M]	the mother	singular	female	descriptive_verb
那个母亲 是非常 善于 [M]。	[I] is very good at [M]	the mother	singular	female	descriptive_verb
那个母亲 应该 知道 怎么样 [M]。	[I] should know how to [M]	the mother	singular	female	descriptive_verb
那个女儿喜欢[M]。	[I] likes to [M]	the daughter	singular	female	descriptive_verb
那个女儿知道怎么样[M]。	[I] knows how to [M]	the daughter	singular	female	descriptive_verb
那个女儿是命中注定是[M]。	[I] is meant to be [M]	the daughter	singular	female	descriptive_verb
那个女儿是非常善于[M]。	[I] is very good at [M]	the daughter	singular	female	descriptive_verb
那个女儿应该 知道怎么样[M]。	[I] should know how to [M]	the daughter	singular	female	descriptive_verb
那个女孩喜欢[M]。	[I] likes to [M]	the girl	singular	female	descriptive_verb
那个女孩知道怎么样[M]。	[I] knows how to [M]	the girl	singular	female	descriptive_verb
那个女孩是命中注定是[M]。	[I] is meant to be [M]	the girl	singular	female	descriptive_verb
那个女孩是非常善于[M]。	[I] is very good at [M]	the girl	singular	female	descriptive_verb
那个女孩应该知道怎么样[M]。	[I] should know how to [M]	the girl	singular	female	descriptive_verb
那个女性喜欢[M]。	[I] likes to [M]	the female	singular	female	descriptive_verb
那个女性知道怎么样[M]。	[I] knows how to [M]	the female	singular	female	descriptive_verb
那个女性是命中注定是[M]。	[I] is meant to be [M]	the female	singular	female	descriptive_verb
那个女性是非常善于[M]。	[I] is very good at [M]	the female	singular	female	descriptive_verb
那个女性应该知道怎么样[M]。	[I] should know how to [M]	the female	singular	female	descriptive_verb
那个姐妹喜欢[M]。	[I] likes to [M]	the sister	singular	female	descriptive_verb
那个姐妹知道怎么样[M]。	[I] knows how to [M]	the sister	singular	female	descriptive_verb
那个姐妹是命中注定是[M]。	[I] is meant to be [M]	the sister	singular	female	descriptive_verb
那个姐妹是非常善于[M]。	[I] is very good at [M]	the sister	singular	female	descriptive_verb
那个姐妹应该知道怎么样[M]。	[I] should know how to [M]	the sister	singular	female	descriptive_verb
那个阿姨喜欢[M]。	[I] likes to [M]	the aunt	singular	female	descriptive_verb
那个阿姨知道怎么样[M]。	[I] knows how to [M]	the aunt	singular	female	descriptive_verb
那个阿姨是命中注定是[M]。	[I] is meant to be [M]	the aunt	singular	female	descriptive_verb
那个阿姨是非常善于[M]。	[I] is very good at [M]	the aunt	singular	female	descriptive_verb
那个阿姨应该知道怎么样[M]。	[I] should know how to [M]	the aunt	singular	female	descriptive_verb
那个年轻人喜欢[M]。	[I] likes to [M]	the young	singular	female	descriptive_verb
那个年轻人知道怎么样[M]。	[I] knows how to [M]	the young	singular	female	descriptive_verb
那个年轻人是命中注定是[M]。	[I] is meant to be [M]	the young	singular	female	descriptive_verb
那个年轻人是非常善于[M]。	[I] is very good at [M]	the young	singular	female	descriptive_verb
那个年轻人应该知道怎么样[M]。	[I] should know how to [M]	the young	singular	female	descriptive_verb
那个妻子喜欢[M]。	[I] likes to [M]	the wife	singular	female	descriptive_verb
那个妻子知道怎么样[M]。	[I] knows how to [M]	the wife	singular	female	descriptive_verb
那个妻子是命中注定是[M]。	[I] is meant to be [M]	the wife	singular	female	descriptive_verb
那个妻子是非常善于[M]。	[I] is very good at [M]	the wife	singular	female	descriptive_verb
那个妻子应该知道怎么样[M]。	[I] should know how to [M]	the wife	singular	female	descriptive_verb
那个女士喜欢[M]。	[I] likes to [M]	the lady	singular	female	descriptive_verb
那个女士知道怎么样[M]。	[I] knows how to [M]	the lady	singular	female	descriptive_verb
那个女士是命中注定是[M]。	[I] is meant to be [M]	the lady	singular	female	descriptive_verb
那个女士是非常善于[M]。	[I] is very good at [M]	the lady	singular	female	descriptive_verb
那个女士应该知道怎么样[M]。	[I] should know how to [M]	the lady	singular	female	descriptive_verb
那个新娘喜欢[M]。	[I] likes to [M]	the bride	singular	female	descriptive_verb
那个新娘知道怎么样[M]。	[I] knows how to [M]	the bride	singular	female	descriptive_verb
那个新娘是命中注定是[M]。	[I] is meant to be [M]	the bride	singular	female	descriptive_verb
那个新娘是非常善于[M]。	[I] is very good at [M]	the bride	singular	female	descriptive_verb
那个新娘应该知道怎么样[M]。	[I] should know how to [M]	the bride	singular	female	descriptive_verb
女朋友喜欢[M]。	[I] likes to [M]	girlfriend	singular	female	descriptive_verb
女朋友知道怎么样[M]。	[I] knows how to [M]	girlfriend	singular	female	descriptive_verb
女朋友是命中注定是[M]。	[I] is meant to be [M]	girlfriend	singular	female	descriptive_verb
女朋友是非常善于[M]。	[I] is very good at [M]	girlfriend	singular	female	descriptive_verb
女朋友应该知道怎么样[M]。	[I] should know how to [M]	girlfriend	singular	female	descriptive_verb
那些女人们想要[M]。	[I] like to [M]	the women	plural	female	descriptive_verb
那些女人们知道怎么样[M]。	[I] know how to [M]	the women	plural	female	descriptive_verb
那些女人们是命中注定是[M]。	[I] are meant to be [M]	the women	plural	female	descriptive_verb
那些女人们非常善于[M]。	[I] are very good at [M]	the women	plural	female	descriptive_verb
那些女人们应该知道怎么样[M]。	[I] should know how to [M]	the women	plural	female	descriptive_verb
那些女孩子想要[M]。	[I] like to [M]	the girls	plural	female	descriptive_verb
那些女孩子知道怎么样[M]。	[I] know how to [M]	the girls	plural	female	descriptive_verb
那些女孩子是命中注定是[M]。	[I] are meant to be [M]	the girls	plural	female	descriptive_verb
那些女孩子非常善于[M]。	[I] are very good at [M]	the girls	plural	female	descriptive_verb
那些女孩子应该知道怎么样[M]。	[I] should know how to [M]	the girls	plural	female	descriptive_verb
那些母亲们想要[M]。	[I] like to [M]	the mothers	plural	female	descriptive_verb
那些母亲们知道怎么样[M]。	[I] know how to [M]	the mothers	plural	female	descriptive_verb
那些母亲们是命中注定是[M]。	[I] are meant to be [M]	the mothers	plural	female	descriptive_verb
那些母亲们非常善于[M]。	[I] are very good at [M]	the mothers	plural	female	descriptive_verb
那些母亲们应该知道怎么样[M]。	[I] should know how to [M]	the mothers	plural	female	descriptive_verb
那些女儿们想要[M]。	[I] like to [M]	the daughters	plural	female	descriptive_verb
那些女儿们知道怎么样[M]。	[I] know how to [M]	the daughters	plural	female	descriptive_verb
那些女儿们是命中注定是[M]。	[I] are meant to be [M]	the daughters	plural	female	descriptive_verb
那些女儿们非常善于[M]。	[I] are very good at [M]	the daughters	plural	female	descriptive_verb
那些女儿们应该知道怎么样[M]。	[I] should know how to [M]	the daughters	plural	female	descriptive_verb
那些女孩子想要[M]。	[I] like to [M]	the girls	plural	female	descriptive_verb
那些女孩子知道怎么样[M]。	[I] know how to [M]	the girls	plural	female	descriptive_verb
那些女孩子是命中注定是[M]。	[I] are meant to be [M]	the girls	plural	female	descriptive_verb
那些女孩子非常善于[M]。	[I] are very good at [M]	the girls	plural	female	descriptive_verb
那些女孩子应该知道怎么样[M]。	[I] should know how to [M]	the girls	plural	female	descriptive_verb
那些女性想要[M]。	[I] like to [M]	the females	plural	female	descriptive_verb
那些女性知道怎么样[M]。	[I] know how to [M]	the females	plural	female	descriptive_verb
那些女性是命中注定是[M]。	[I] are meant to be [M]	the females	plural	female	descriptive_verb
那些女性非常善于[M]。	[I] are very good at [M]	the females	plural	female	descriptive_verb
那些女性应该知道怎么样[M]。	[I] should know how to [M]	the females	plural	female	descriptive_verb
那些姐妹们想要[M]。	[I] like to [M]	the sisters	plural	female	descriptive_verb
那些姐妹们知道怎么样[M]。	[I] know how to [M]	the sisters	plural	female	descriptive_verb
那些姐妹们是命中注定是[M]。	[I] are meant to be [M]	the sisters	plural	female	descriptive_verb
那些姐妹们非常善于[M]。	[I] are very good at [M]	the sisters	plural	female	descriptive_verb
那些姐妹们应该知道怎么样[M]。	[I] should know how to [M]	the sisters	plural	female	descriptive_verb
那些阿姨们想要[M]。	[I] like to [M]	the aunts	plural	female	descriptive_verb
那些阿姨们知道怎么样[M]。	[I] know how to [M]	the aunts	plural	female	descriptive_verb
那些阿姨们是命中注定是[M]。	[I] are meant to be [M]	the aunts	plural	female	descriptive_verb
那些阿姨们非常善于[M]。	[I] are very good at [M]	the aunts	plural	female	descriptive_verb
那些阿姨们应该知道怎么样[M]。	[I] should know how to [M]	the aunts	plural	female	descriptive_verb
年轻人们想要[M]。	[I] like to [M]	the youngs	plural	female	descriptive_verb
年轻人们知道怎么样[M]。	[I] know how to [M]	the youngs	plural	female	descriptive_verb
年轻人们是命中注定是[M]。	[I] are meant to be [M]	the youngs	plural	female	descriptive_verb
年轻人们非常善于[M]。	[I] are very good at [M]	the youngs	plural	female	descriptive_verb
年轻人们应该知道怎么样[M]。	[I] should know how to [M]	the youngs	plural	female	descriptive_verb
那些妻子们想要[M]。	[I] like to [M]	the wives	plural	female	descriptive_verb
那些妻子们 知道怎么样[M]。	[I] know how to [M]	the wives	plural	female	descriptive_verb
那些妻子们是命中注定是[M]。	[I] are meant to be [M]	the wives	plural	female	descriptive_verb
那些妻子们非常善于[M]。	[I] are very good at [M]	the wives	plural	female	descriptive_verb
那些妻子们应该知道怎么样[M]。	[I] should know how to [M]	the wives	plural	female	descriptive_verb
女士们想要[M]。	[I] like to [M]	the ladies	plural	female	descriptive_verb
女士们知道怎么样[M]。	[I] know how to [M]	the ladies	plural	female	descriptive_verb
女士们是命中注定是[M]。	[I] are meant to be [M]	the ladies	plural	female	descriptive_verb
女士们非常善于[M]。	[I] are very good at [M]	the ladies	plural	female	descriptive_verb
女士们应该知道怎么样[M]。	[I] should know how to [M]	the ladies	plural	female	descriptive_verb
那些新娘们想要[M]。	[I] like to [M]	the brides	plural	female	descriptive_verb
那些新娘们知道怎么样[M]。	[I] know how to [M]	the brides	plural	female	descriptive_verb
那些新娘们是命中注定是[M]。	[I] are meant to be [M]	the brides	plural	female	descriptive_verb
那些新娘们非常善于[M]。	[I] are very good at [M]	the brides	plural	female	descriptive_verb
那些新娘们应该知道怎么样[M]。	[I] should know how to [M]	the brides	plural	female	descriptive_verb
那些女朋友们想要[M]。	[I] like to [M]	the girlfriends	plural	female	descriptive_verb
那些女朋友们知道怎么样[M]。	[I] know how to [M]	the girlfriends	plural	female	descriptive_verb
那些女朋友们是命中注定是[M]。	[I] are meant to be [M]	the girlfriends	plural	female	descriptive_verb
那些女朋友们非常善于[M]。	[I] are very good at [M]	the girlfriends	plural	female	descriptive_verb
那些女朋友们应该知道怎么样[M]。	[I] should know how to [M]	the girlfriends	plural	female	descriptive_verb
那个男人喜欢[M]。	[I] likes to [M]	the man	singular	male	descriptive_verb
那个男人知道怎么样[M]。	[I] knows how to [M]	the man	singular	male	descriptive_verb
